# Architectural types of cortical areas, data from Table 4 of Hilgetag, C. C., Medalla, M., Beul, S. F., & Barbas, H. (2015). The primate connectome in context: Principles of connections of the cortical visual system. NeuroImage, 134, 685–702. https://doi.org/10.1016/j.neuroimage.2016.04.017
	
FEF	5
7a	4
STPp	4
CITv	5
PITv	5
VP	7
V3A	6
TF	5
LIP	5
V4t	6
MIP	?
CITd	5
MSTd	5
DP	5
STPa	4
MSTl	5
MT	6
46	4
AITv	4
VIP	5
PITd	5
VOT	6
V1	8
V2	7
V3	7
V4	6
TH	2
PIP	5
FST	4
MDP	?
PO	5
AITd	4
