# Overall and layer-resolved neuron densities (neurons per cubic mm) of macaque cortical areas from the lab of Helen Barbas, Boston University, obtained with NeuN staining. The overall densities correspond to those in Table 4 of Hilgetag, C. C., Medalla, M., Beul, S. F., & Barbas, H. (2016). The primate connectome in context: Principles of connections of the cortical visual system. NeuroImage, 134, 685-702. Columns: area name, overall density, overall density error, L2/3 density, L2/3 density error, L4 density, L4 density error, L5/6 density, L5/6 density error 

V1	161365.313353296	19427.7514309175	153894.970495772	11237.0785022221	179088.958685915	19483.3411458588	139272.680066401	28642.7198414341
V2	97618.8004262742	6318.4209238154	92913.7502053809	9168.7044437395	180488.12639129	15599.6221210207	78810.1380340474	5788.3313934117
V4	71236.5276327589	7947.590257791	67154.5446596756	5803.6225683117	167188.428539576	26194.6145324879	56752.2320613314	10570.4766493826
MT	65991.5887115086	6996.5656738783	67044.2266724167	5773.2854729385	121372.429209652	5958.4564687061	50507.6146086331	9182.4918445723
TEO	63271.1025249173	7263.1015279643	56057.260207707	6168.8769518766	153600.74824572	26717.1840533565	57071.8248578393	6982.2666533817
V3A	61381.5412392137	6202.963723809	58305.5035933036	4035.9619344902	109843.719889781	22376.7397541261	50647.3572613343	5259.7123097559
LIP	52134.5731946242	4491.9762527831	50703.2775227163	4603.3939842453	90334.8968775757	8221.417134307	43926.0361437937	4960.2985281281
Opt/DP	48015.1995568109	5932.0962970323	45758.1365355312	4678.0990750539	86467.4698480542	12137.3808972281	41725.5532649263	6548.0941769156
TF	46083.8963535136	2697.6987375072	44164.6081343695	492.0978572682	88810.1652976761	2904.792305899	40653.2604320568	8573.9510135437
FEF	44977.7691582594	1147.4075861589	45284.2708812591	3025.5401968487	68733.783030714	1368.1732105009	39382.0621828807	1175.1024421689
Te1	38839.7460239597	4018.9831766332	36312.629019575	3798.0977648742	84833.0161404169	20492.3782565057	36379.5587038022	6385.8472725441
area 46v	38026.8136272429	4185.5590572311	34625.8382448048	3028.1656500057	59774.256849191	9644.0789780673	36192.0308636869	4420.3808841888
7a	36229.994135607	2214.8748387887	35064.7353890857	2945.3862132917	64711.115816133	8419.739423376	31239.53369249	1451.8383374224
TH	33196.1450004882	4032.662630167	32778.5191185925	5269.5723764642	0	0	33814.8407473548	2994.3319115364
