# Data from supplement of Markov et al. (2011) "Weight Consistency Specifies Regularities of Macaque Cortical Networks" Cereb Cortex. 21(6):1254-72. doi: 10.1093/cercor/bhq201.

V1	0.85	0.05
V2	0.75	0.05
V4	0.9	0.05
mean	0.79	0.11
